Scale	Dataset	Language	0	1	2	3	4	5	6	7
good-badXX.rankings	demelo	FR	dur || difficile	pénible	désespéré 					
good-badXX.rankings	demelo	EL	δύσκολος	επίπονος	απελπιστικός					
good-badXX.rankings	demelo	ES	difícil	doloroso	desesperado					
XXsugary-nonsweet.rankings	demelo	EN	sweet	sugary	syrupy					
XXsugary-nonsweet.rankings	demelo	FR	doux	sucré	sirupeux					
XXsugary-nonsweet.rankings	demelo	EL	γλυκός	ζαχαρώδης || ζαχαρούχος	σιροπιαστός || γλυκύτατος					
XXsugary-nonsweet.rankings	demelo	ES	dulce	azucarado	almibarado					
XXconcerned-unconcerned.rankings	demelo	EN	concerned	preoccupied	obsessed					
XXconcerned-unconcerned.rankings	demelo	FR	inquiet || soucieux	préoccupé	obsédé					
XXconcerned-unconcerned.rankings	demelo	EL	ανήσυχος	προβληματισμένος	εμμονικός					
XXconcerned-unconcerned.rankings	demelo	ES	preocupado	angustiado	obsesionado					
virtuous-wickedXX.rankings	demelo	EN	wrong	immoral	sinful	evil				
virtuous-wickedXX.rankings	demelo	FR	faux	immoral	débauché || dépravé	malfaisant				
virtuous-wickedXX.rankings	demelo	EL	λανθασμένος	ανήθικος	αμαρτωλός	σατανικός				
virtuous-wickedXX.rankings	demelo	ES	incorrecto	inmoral	ilícito	maligno				
XXavailable-unavailable.rankings	demelo	EN	available	accessible	visible					
XXavailable-unavailable.rankings	demelo	FR	disponible	accessible	visible					
XXavailable-unavailable.rankings	demelo	EL	διαθέσιμος	προσβάσιμος	ορατός					
XXavailable-unavailable.rankings	demelo	ES	disponible	accesible	visible					
friendly-unfriendlyXX.rankings	demelo	EN	cool || chilly	unfriendly	hostile					
friendly-unfriendlyXX.rankings	demelo	FR	froid	antipathique	hostile					
friendly-unfriendlyXX.rankings	demelo	EL	ψυχρός	αντιπαθητικός	εχθρικός					
friendly-unfriendlyXX.rankings	demelo	ES	frío || arisco	antipático || desagradable	hostil					
XXample-meager.rankings	demelo	EN	sufficient	good || wide	full					
XXample-meager.rankings	demelo	FR	suffisant	bon	plein					
XXample-meager.rankings	demelo	EL	αρκετός	πολύς || ευρύς	γεμάτος					
XXample-meager.rankings	demelo	ES	suficiente || bastante	amplio						
XXhigh-low.rankings	demelo	EN	high	higher	soaring					
XXhigh-low.rankings	demelo	FR	haut || élevé	plus haut || plus élevé						
XXhigh-low.rankings	demelo	EL	ψηλός	ψηλότερος	απογειωμένος					
XXhigh-low.rankings	demelo	ES	alto	elevado	altísimo					
XXvalid-invalid.rankings	demelo	EN	reasonable	valid	sound					
XXvalid-invalid.rankings	demelo	FR	raisonnable	valable || valide	solide					
XXvalid-invalid.rankings	demelo	EL	λογικός 	έγκυρος	επικυρωμένος || έγκριτος					
XXvalid-invalid.rankings	demelo	ES	razonable	válido	sólido					
XXnecessary-unnecessary.rankings	demelo	EN	needed	necessary	required || essential	indispensable				
XXnecessary-unnecessary.rankings	demelo	FR		nécessaire	requis || essentiel	indispensable				
XXnecessary-unnecessary.rankings	demelo	EL	απαιτούμενος	αναγκαίος	επιβεβλημένος || απαραίτητος					
XXnecessary-unnecessary.rankings	demelo	ES	necesario	esencial	indispensable || imprescindible					
XXfar-close.rankings	demelo	EN	far	further || farther	removed					
XXfar-close.rankings	demelo	FR	lointain || éloigné	plus éloigné	retiré					
XXfar-close.rankings	demelo	EL	μακρινός	μακρύτερος	απομακρυσμένος					
XXfar-close.rankings	demelo	ES	apartado	lejano	remoto					
b	demelo	EN	sick || ill	impaired	disabled					
fit-unfitXX.rankings	demelo	FR	malade	affaibli	infirme || handicapé					
fit-unfitXX.rankings	demelo	EL	άρρωστος || ασθενής	επιβαρυμένος || εξασθενημένος	ανάπηρος					
fit-unfitXX.rankings	demelo	ES	indispuesto	enfermo	discapacitado					
XXstimulating-unexciting.rankings	demelo	EN	interesting	moving	exciting	thrilling				
XXstimulating-unexciting.rankings	demelo	FR	intéressant	émouvant || touchant	passionnant	palpitant				
XXstimulating-unexciting.rankings	demelo	EL	ενδιαφέρων	συγκινητικός	συναρπαστικός	συγκλονιστικός				
XXstimulating-unexciting.rankings	demelo	ES	interesante	emotivo	emocionante	apasionante				
XXprivate-public.rankings	demelo	EN	personal	private	secret					
XXprivate-public.rankings	demelo	FR	personnel	privé	secret					
XXprivate-public.rankings	demelo	EL	προσωπικός	ιδιωτικός	κρυφός					
XXprivate-public.rankings	demelo	ES	personal	privado	secreto					
expensive-cheapXX.rankings	demelo	EN	affordable	inexpensive	cheap					
expensive-cheapXX.rankings	demelo	FR	abordable	bon marché 	pas cher 					
expensive-cheapXX.rankings	demelo	EL	προσιτός	οικονομικός	φτηνός || φθηνός					
expensive-cheapXX.rankings	demelo	ES	asequible	económico	barato					
safe-dangerousXX.rankings	demelo	EN	unreliable	dangerous || risky	suicidal					
safe-dangerousXX.rankings	demelo	FR	pas fiable	dangereux 	suicidaire					
safe-dangerousXX.rankings	demelo	EL	αφερέγγυος || αναξιόπιστος	επικίνδυνος || επισφαλής	καταστροφικός || θανάσιμος					
safe-dangerousXX.rankings	demelo	ES	arriesgado	peligroso	suicida					
fortunate-unfortunateXX.rankings	demelo	EN	unfortunate	disastrous	fatal					
fortunate-unfortunateXX.rankings	demelo	FR	malheureux	désastreux || catastrophique	fatal || mortel					
fortunate-unfortunateXX.rankings	demelo	EL	ατυχής	καταστροφικός || καταστρεπτικός	ολέθριος || θανάσιμος 					
fortunate-unfortunateXX.rankings	demelo	ES	desafortunado	desastroso	fatal					
XXaware-incognizant.rankings	demelo	EN	alive	awake	aware || conscious					
XXaware-incognizant.rankings	demelo	FR	vivant	éveillé	conscient 					
XXaware-incognizant.rankings	demelo	EL	ζωντανός	ξύπνιος	ενσυνείδητος					
XXaware-incognizant.rankings	demelo	ES	vivo	despierto	consciente					
XXlike-unlike.rankings	demelo	EN	like	equal	same					
XXlike-unlike.rankings	demelo	FR	similaire || pareil	égal	même					
XXlike-unlike.rankings	demelo	EL	όμοιος	ίσος	ίδιος					
XXlike-unlike.rankings	demelo	ES	parecido	igual	idéntico					
XXstrange-familiar.rankings	demelo	EN	strange || funny	unusual	weird	eerie				
XXstrange-familiar.rankings	demelo	FR	étrange	insolite	bizarre	sinistre				
XXstrange-familiar.rankings	demelo	EL	περίεργος	ασυνήθιστος || σπάνιος	παράξενος	απόκοσμος				
XXstrange-familiar.rankings	demelo	ES	raro || extraño	inusual	insólito					
clean-dirtyXX.rankings	demelo	EN	indecent	profane	obscene					
clean-dirtyXX.rankings	demelo	FR	indécent	vulgaire || grossier	obscène					
clean-dirtyXX.rankings	demelo	EL	άσεμνος || απρεπής	βλάσφημος	χυδαίος || αισχρός					
clean-dirtyXX.rankings	demelo	ES	indecente	obsceno	vulgar					
